,original_summary,token,Porter_Stemmer,WordNet_Lemmatizer
3325,Good strings ..but I like the Rock n' Roll version better,"['Good', 'strings', '..', 'but', 'I', 'like', 'the', 'Rock', 'n', ""'"", 'Roll', 'version', 'better']","['good', 'string', '..', 'but', 'i', 'like', 'the', 'rock', 'n', ""'"", 'roll', 'version', 'better']","['Good', 'string', '..', 'but', 'I', 'like', 'the', 'Rock', 'n', ""'"", 'Roll', 'version', 'better']"
3326,Inexpensive and sound great.,"['Inexpensive', 'and', 'sound', 'great', '.']","['inexpens', 'and', 'sound', 'great', '.']","['Inexpensive', 'and', 'sound', 'great', '.']"
3327,AWESOME STRINGS!,"['AWESOME', 'STRINGS', '!']","['awesom', 'string', '!']","['AWESOME', 'STRINGS', '!']"
3328,the best,"['the', 'best']","['the', 'best']","['the', 'best']"
3329,Ernie Ball 2223 Super Slinky Nickel Wound Set (09-42),"['Ernie', 'Ball', '2223', 'Super', 'Slinky', 'Nickel', 'Wound', 'Set', '(', '09-42', ')']","['erni', 'ball', '2223', 'super', 'slinki', 'nickel', 'wound', 'set', '(', '09-42', ')']","['Ernie', 'Ball', '2223', 'Super', 'Slinky', 'Nickel', 'Wound', 'Set', '(', '09-42', ')']"
3330,"Weak guitar tone, good for lead work however.","['Weak', 'guitar', 'tone', ',', 'good', 'for', 'lead', 'work', 'however', '.']","['weak', 'guitar', 'tone', ',', 'good', 'for', 'lead', 'work', 'howev', '.']","['Weak', 'guitar', 'tone', ',', 'good', 'for', 'lead', 'work', 'however', '.']"
3331,Nice strings but have to use all -once opened,"['Nice', 'strings', 'but', 'have', 'to', 'use', 'all', '-once', 'opened']","['nice', 'string', 'but', 'have', 'to', 'use', 'all', '-onc', 'open']","['Nice', 'string', 'but', 'have', 'to', 'use', 'all', '-once', 'opened']"
3332,Best set of strings for electric guitar,"['Best', 'set', 'of', 'strings', 'for', 'electric', 'guitar']","['best', 'set', 'of', 'string', 'for', 'electr', 'guitar']","['Best', 'set', 'of', 'string', 'for', 'electric', 'guitar']"
3333,right tension for me,"['right', 'tension', 'for', 'me']","['right', 'tension', 'for', 'me']","['right', 'tension', 'for', 'me']"
3334,Easier,['Easier'],['easier'],['Easier']
3335,Smooth and dark,"['Smooth', 'and', 'dark']","['smooth', 'and', 'dark']","['Smooth', 'and', 'dark']"
3336,"Sounds good if I turn up my amp up to ""11""","['Sounds', 'good', 'if', 'I', 'turn', 'up', 'my', 'amp', 'up', 'to', '``', '11', ""''""]","['sound', 'good', 'if', 'i', 'turn', 'up', 'my', 'amp', 'up', 'to', '``', '11', ""''""]","['Sounds', 'good', 'if', 'I', 'turn', 'up', 'my', 'amp', 'up', 'to', '``', '11', ""''""]"
3337,Great price - Standard Tube,"['Great', 'price', '-', 'Standard', 'Tube']","['great', 'price', '-', 'standard', 'tube']","['Great', 'price', '-', 'Standard', 'Tube']"
3338,Super Tube!,"['Super', 'Tube', '!']","['super', 'tube', '!']","['Super', 'Tube', '!']"
3339,JJ ECC83 Preamp Tube,"['JJ', 'ECC83', 'Preamp', 'Tube']","['jj', 'ecc83', 'preamp', 'tube']","['JJ', 'ECC83', 'Preamp', 'Tube']"
3340,I was very surprised...,"['I', 'was', 'very', 'surprised', '...']","['i', 'wa', 'veri', 'surpris', '...']","['I', 'wa', 'very', 'surprised', '...']"
3341,"Good, powerful.","['Good', ',', 'powerful', '.']","['good', ',', 'power', '.']","['Good', ',', 'powerful', '.']"
3342,Just not for me,"['Just', 'not', 'for', 'me']","['just', 'not', 'for', 'me']","['Just', 'not', 'for', 'me']"
3343,A perfect replacement!,"['A', 'perfect', 'replacement', '!']","['a', 'perfect', 'replac', '!']","['A', 'perfect', 'replacement', '!']"
3344,Inexpensive Excellence Whether I Need It Or Not,"['Inexpensive', 'Excellence', 'Whether', 'I', 'Need', 'It', 'Or', 'Not']","['inexpens', 'excel', 'whether', 'i', 'need', 'it', 'or', 'not']","['Inexpensive', 'Excellence', 'Whether', 'I', 'Need', 'It', 'Or', 'Not']"
3345,Probably a great tube.,"['Probably', 'a', 'great', 'tube', '.']","['probabl', 'a', 'great', 'tube', '.']","['Probably', 'a', 'great', 'tube', '.']"
3346,What I needed,"['What', 'I', 'needed']","['what', 'i', 'need']","['What', 'I', 'needed']"
3347,love it!,"['love', 'it', '!']","['love', 'it', '!']","['love', 'it', '!']"
3348,12AX7 EH,"['12AX7', 'EH']","['12ax7', 'eh']","['12AX7', 'EH']"
3349,Yup!,"['Yup', '!']","['yup', '!']","['Yup', '!']"
3350,As far as wire music stands go this one is great! but wire music stands are the WORST!,"['As', 'far', 'as', 'wire', 'music', 'stands', 'go', 'this', 'one', 'is', 'great', '!', 'but', 'wire', 'music', 'stands', 'are', 'the', 'WORST', '!']","['as', 'far', 'as', 'wire', 'music', 'stand', 'go', 'thi', 'one', 'is', 'great', '!', 'but', 'wire', 'music', 'stand', 'are', 'the', 'worst', '!']","['As', 'far', 'a', 'wire', 'music', 'stand', 'go', 'this', 'one', 'is', 'great', '!', 'but', 'wire', 'music', 'stand', 'are', 'the', 'WORST', '!']"
3351,Perfect music stand for home and on the go,"['Perfect', 'music', 'stand', 'for', 'home', 'and', 'on', 'the', 'go']","['perfect', 'music', 'stand', 'for', 'home', 'and', 'on', 'the', 'go']","['Perfect', 'music', 'stand', 'for', 'home', 'and', 'on', 'the', 'go']"
3352,GREAT CHOICE,"['GREAT', 'CHOICE']","['great', 'choic']","['GREAT', 'CHOICE']"
3353,PERFECT!!!!!!!!,"['PERFECT', '!', '!', '!', '!', '!', '!', '!', '!']","['perfect', '!', '!', '!', '!', '!', '!', '!', '!']","['PERFECT', '!', '!', '!', '!', '!', '!', '!', '!']"
3354,It's okay. Really just okay.,"['It', ""'s"", 'okay', '.', 'Really', 'just', 'okay', '.']","['it', ""'s"", 'okay', '.', 'realli', 'just', 'okay', '.']","['It', ""'s"", 'okay', '.', 'Really', 'just', 'okay', '.']"
3355,Nice stand for the $,"['Nice', 'stand', 'for', 'the', '$']","['nice', 'stand', 'for', 'the', '$']","['Nice', 'stand', 'for', 'the', '$']"
3356,Good basic stand,"['Good', 'basic', 'stand']","['good', 'basic', 'stand']","['Good', 'basic', 'stand']"
3357,Music Stand,"['Music', 'Stand']","['music', 'stand']","['Music', 'Stand']"
3358,"Sturdy enough, very portable","['Sturdy', 'enough', ',', 'very', 'portable']","['sturdi', 'enough', ',', 'veri', 'portabl']","['Sturdy', 'enough', ',', 'very', 'portable']"
3359,Handy stand,"['Handy', 'stand']","['handi', 'stand']","['Handy', 'stand']"
3360,GREAT!!!,"['GREAT', '!', '!', '!']","['great', '!', '!', '!']","['GREAT', '!', '!', '!']"
3361,Solid All Around,"['Solid', 'All', 'Around']","['solid', 'all', 'around']","['Solid', 'All', 'Around']"
3362,Perfect for heavy gigging schedules (including touring),"['Perfect', 'for', 'heavy', 'gigging', 'schedules', '(', 'including', 'touring', ')']","['perfect', 'for', 'heavi', 'gig', 'schedul', '(', 'includ', 'tour', ')']","['Perfect', 'for', 'heavy', 'gigging', 'schedule', '(', 'including', 'touring', ')']"
3363,Does the trick,"['Does', 'the', 'trick']","['doe', 'the', 'trick']","['Does', 'the', 'trick']"
3364,Incredibly versatile pedal,"['Incredibly', 'versatile', 'pedal']","['incred', 'versatil', 'pedal']","['Incredibly', 'versatile', 'pedal']"
3365,A Legend,"['A', 'Legend']","['a', 'legend']","['A', 'Legend']"
3366,The best I've ever used. Period.,"['The', 'best', 'I', ""'ve"", 'ever', 'used', '.', 'Period', '.']","['the', 'best', 'i', ""'ve"", 'ever', 'use', '.', 'period', '.']","['The', 'best', 'I', ""'ve"", 'ever', 'used', '.', 'Period', '.']"
3367,Best distortion peddle still... And a steal at this price!,"['Best', 'distortion', 'peddle', 'still', '...', 'And', 'a', 'steal', 'at', 'this', 'price', '!']","['best', 'distort', 'peddl', 'still', '...', 'and', 'a', 'steal', 'at', 'thi', 'price', '!']","['Best', 'distortion', 'peddle', 'still', '...', 'And', 'a', 'steal', 'at', 'this', 'price', '!']"
3368,"Fantastic, deep sound","['Fantastic', ',', 'deep', 'sound']","['fantast', ',', 'deep', 'sound']","['Fantastic', ',', 'deep', 'sound']"
3369,Great Fat Analog Distortion,"['Great', 'Fat', 'Analog', 'Distortion']","['great', 'fat', 'analog', 'distort']","['Great', 'Fat', 'Analog', 'Distortion']"
3370,My go-to distortion...,"['My', 'go-to', 'distortion', '...']","['my', 'go-to', 'distort', '...']","['My', 'go-to', 'distortion', '...']"
3371,"Pretty average distortion, great fuzz.","['Pretty', 'average', 'distortion', ',', 'great', 'fuzz', '.']","['pretti', 'averag', 'distort', ',', 'great', 'fuzz', '.']","['Pretty', 'average', 'distortion', ',', 'great', 'fuzz', '.']"
3372,Fuzz Factory and Beyond,"['Fuzz', 'Factory', 'and', 'Beyond']","['fuzz', 'factori', 'and', 'beyond']","['Fuzz', 'Factory', 'and', 'Beyond']"
3373,Not for me,"['Not', 'for', 'me']","['not', 'for', 'me']","['Not', 'for', 'me']"
3374,Pick Holder,"['Pick', 'Holder']","['pick', 'holder']","['Pick', 'Holder']"
3375,Ok,['Ok'],['ok'],['Ok']
3376,"Dunlop 5005 Pick Holder, Each (5005)","['Dunlop', '5005', 'Pick', 'Holder', ',', 'Each', '(', '5005', ')']","['dunlop', '5005', 'pick', 'holder', ',', 'each', '(', '5005', ')']","['Dunlop', '5005', 'Pick', 'Holder', ',', 'Each', '(', '5005', ')']"
3377,good product,"['good', 'product']","['good', 'product']","['good', 'product']"
3378,-,['-'],['-'],['-']
3379,happy with purchase,"['happy', 'with', 'purchase']","['happi', 'with', 'purchas']","['happy', 'with', 'purchase']"
3380,Great product,"['Great', 'product']","['great', 'product']","['Great', 'product']"
3381,love love love this little item!!!,"['love', 'love', 'love', 'this', 'little', 'item', '!', '!', '!']","['love', 'love', 'love', 'thi', 'littl', 'item', '!', '!', '!']","['love', 'love', 'love', 'this', 'little', 'item', '!', '!', '!']"
3382,Decent Pick holder.,"['Decent', 'Pick', 'holder', '.']","['decent', 'pick', 'holder', '.']","['Decent', 'Pick', 'holder', '.']"
3383,Very convenient,"['Very', 'convenient']","['veri', 'conveni']","['Very', 'convenient']"
3384,Great Dunlop 5005 Pick Holder,"['Great', 'Dunlop', '5005', 'Pick', 'Holder']","['great', 'dunlop', '5005', 'pick', 'holder']","['Great', 'Dunlop', '5005', 'Pick', 'Holder']"
3385,quick easy way to keep picks at hand,"['quick', 'easy', 'way', 'to', 'keep', 'picks', 'at', 'hand']","['quick', 'easi', 'way', 'to', 'keep', 'pick', 'at', 'hand']","['quick', 'easy', 'way', 'to', 'keep', 'pick', 'at', 'hand']"
3386,The Little Go-To Lifesaver,"['The', 'Little', 'Go-To', 'Lifesaver']","['the', 'littl', 'go-to', 'lifesav']","['The', 'Little', 'Go-To', 'Lifesaver']"
3387,It is what it is,"['It', 'is', 'what', 'it', 'is']","['it', 'is', 'what', 'it', 'is']","['It', 'is', 'what', 'it', 'is']"
3388,disappointed not the one I ordered,"['disappointed', 'not', 'the', 'one', 'I', 'ordered']","['disappoint', 'not', 'the', 'one', 'i', 'order']","['disappointed', 'not', 'the', 'one', 'I', 'ordered']"
3389,Great pick holder!,"['Great', 'pick', 'holder', '!']","['great', 'pick', 'holder', '!']","['Great', 'pick', 'holder', '!']"
3390,easy,['easy'],['easi'],['easy']
3391,Good!,"['Good', '!']","['good', '!']","['Good', '!']"
3392,It's what you'd expect,"['It', ""'s"", 'what', 'you', ""'d"", 'expect']","['it', ""'s"", 'what', 'you', ""'d"", 'expect']","['It', ""'s"", 'what', 'you', ""'d"", 'expect']"
3393,Very good accessory for guitar players,"['Very', 'good', 'accessory', 'for', 'guitar', 'players']","['veri', 'good', 'accessori', 'for', 'guitar', 'player']","['Very', 'good', 'accessory', 'for', 'guitar', 'player']"
3394,what more could you really ask for,"['what', 'more', 'could', 'you', 'really', 'ask', 'for']","['what', 'more', 'could', 'you', 'realli', 'ask', 'for']","['what', 'more', 'could', 'you', 'really', 'ask', 'for']"
3395,Pick Holder for Guitarists,"['Pick', 'Holder', 'for', 'Guitarists']","['pick', 'holder', 'for', 'guitarist']","['Pick', 'Holder', 'for', 'Guitarists']"
3396,Dunlap,['Dunlap'],['dunlap'],['Dunlap']
3397,No Bueno,"['No', 'Bueno']","['no', 'bueno']","['No', 'Bueno']"
3398,Works well,"['Works', 'well']","['work', 'well']","['Works', 'well']"
3399,Handy deal,"['Handy', 'deal']","['handi', 'deal']","['Handy', 'deal']"
3400,Pick Holder,"['Pick', 'Holder']","['pick', 'holder']","['Pick', 'Holder']"
3401,Easy to use,"['Easy', 'to', 'use']","['easi', 'to', 'use']","['Easy', 'to', 'use']"
3402,I Love It,"['I', 'Love', 'It']","['i', 'love', 'it']","['I', 'Love', 'It']"
3403,Great product,"['Great', 'product']","['great', 'product']","['Great', 'product']"
3404,Yes it works.,"['Yes', 'it', 'works', '.']","['ye', 'it', 'work', '.']","['Yes', 'it', 'work', '.']"
3405,Great product. I have ordered 6 or 7 or ...,"['Great', 'product', '.', 'I', 'have', 'ordered', '6', 'or', '7', 'or', '...']","['great', 'product', '.', 'i', 'have', 'order', '6', 'or', '7', 'or', '...']","['Great', 'product', '.', 'I', 'have', 'ordered', '6', 'or', '7', 'or', '...']"
3406,Customer comments,"['Customer', 'comments']","['custom', 'comment']","['Customer', 'comment']"
3407,Pick holder,"['Pick', 'holder']","['pick', 'holder']","['Pick', 'holder']"
3408,Holds my picks but if i move it to another ...,"['Holds', 'my', 'picks', 'but', 'if', 'i', 'move', 'it', 'to', 'another', '...']","['hold', 'my', 'pick', 'but', 'if', 'i', 'move', 'it', 'to', 'anoth', '...']","['Holds', 'my', 'pick', 'but', 'if', 'i', 'move', 'it', 'to', 'another', '...']"
3409,Very handy!,"['Very', 'handy', '!']","['veri', 'handi', '!']","['Very', 'handy', '!']"
3410,Good,['Good'],['good'],['Good']
3411,Good to have,"['Good', 'to', 'have']","['good', 'to', 'have']","['Good', 'to', 'have']"
3412,Very handy,"['Very', 'handy']","['veri', 'handi']","['Very', 'handy']"
3413,Perfect holder,"['Perfect', 'holder']","['perfect', 'holder']","['Perfect', 'holder']"
3414,Functional; decent price,"['Functional', ';', 'decent', 'price']","['function', ';', 'decent', 'price']","['Functional', ';', 'decent', 'price']"
3415,Pick Holder,"['Pick', 'Holder']","['pick', 'holder']","['Pick', 'Holder']"
3416,Great little gadget!!,"['Great', 'little', 'gadget', '!', '!']","['great', 'littl', 'gadget', '!', '!']","['Great', 'little', 'gadget', '!', '!']"
3417,Holds picks,"['Holds', 'picks']","['hold', 'pick']","['Holds', 'pick']"
3418,What are you doing? -- just buy it!!,"['What', 'are', 'you', 'doing', '?', '--', 'just', 'buy', 'it', '!', '!']","['what', 'are', 'you', 'do', '?', '--', 'just', 'buy', 'it', '!', '!']","['What', 'are', 'you', 'doing', '?', '--', 'just', 'buy', 'it', '!', '!']"
3419,Good pick holder,"['Good', 'pick', 'holder']","['good', 'pick', 'holder']","['Good', 'pick', 'holder']"
3420,Best guitar cleaning product out there,"['Best', 'guitar', 'cleaning', 'product', 'out', 'there']","['best', 'guitar', 'clean', 'product', 'out', 'there']","['Best', 'guitar', 'cleaning', 'product', 'out', 'there']"
3421,really nice fingerboard clean/restore at good price,"['really', 'nice', 'fingerboard', 'clean/restore', 'at', 'good', 'price']","['realli', 'nice', 'fingerboard', 'clean/restor', 'at', 'good', 'price']","['really', 'nice', 'fingerboard', 'clean/restore', 'at', 'good', 'price']"
3422,Accept no other!,"['Accept', 'no', 'other', '!']","['accept', 'no', 'other', '!']","['Accept', 'no', 'other', '!']"
3423,Great Product!,"['Great', 'Product', '!']","['great', 'product', '!']","['Great', 'Product', '!']"
3424,Excellent Product & Quite A Lot For The Small Cost,"['Excellent', 'Product', '&', 'Quite', 'A', 'Lot', 'For', 'The', 'Small', 'Cost']","['excel', 'product', '&', 'quit', 'a', 'lot', 'for', 'the', 'small', 'cost']","['Excellent', 'Product', '&', 'Quite', 'A', 'Lot', 'For', 'The', 'Small', 'Cost']"
3425,Not Mr Clean,"['Not', 'Mr', 'Clean']","['not', 'mr', 'clean']","['Not', 'Mr', 'Clean']"
3426,Makes the fretboard feel like new,"['Makes', 'the', 'fretboard', 'feel', 'like', 'new']","['make', 'the', 'fretboard', 'feel', 'like', 'new']","['Makes', 'the', 'fretboard', 'feel', 'like', 'new']"
3427,Works great,"['Works', 'great']","['work', 'great']","['Works', 'great']"
3428,Good!,"['Good', '!']","['good', '!']","['Good', '!']"
3429,works,['works'],['work'],['work']
3430,Easy to put on due to ingenius applicator tip.,"['Easy', 'to', 'put', 'on', 'due', 'to', 'ingenius', 'applicator', 'tip', '.']","['easi', 'to', 'put', 'on', 'due', 'to', 'ingeniu', 'applic', 'tip', '.']","['Easy', 'to', 'put', 'on', 'due', 'to', 'ingenius', 'applicator', 'tip', '.']"
3431,Very Good,"['Very', 'Good']","['veri', 'good']","['Very', 'Good']"
3432,Food of the Fretboards!,"['Food', 'of', 'the', 'Fretboards', '!']","['food', 'of', 'the', 'fretboard', '!']","['Food', 'of', 'the', 'Fretboards', '!']"
3433,Best lemon Oil for your Fretboard,"['Best', 'lemon', 'Oil', 'for', 'your', 'Fretboard']","['best', 'lemon', 'oil', 'for', 'your', 'fretboard']","['Best', 'lemon', 'Oil', 'for', 'your', 'Fretboard']"
3434,Works Great !!!,"['Works', 'Great', '!', '!', '!']","['work', 'great', '!', '!', '!']","['Works', 'Great', '!', '!', '!']"
3435,A++,['A++'],['a++'],['A++']
3436,Cleans real good,"['Cleans', 'real', 'good']","['clean', 'real', 'good']","['Cleans', 'real', 'good']"
3437,"Mmmmm, Lemony Fresh!","['Mmmmm', ',', 'Lemony', 'Fresh', '!']","['mmmmm', ',', 'lemoni', 'fresh', '!']","['Mmmmm', ',', 'Lemony', 'Fresh', '!']"
3438,This actually works,"['This', 'actually', 'works']","['thi', 'actual', 'work']","['This', 'actually', 'work']"
3439,great little practice amp for late nights,"['great', 'little', 'practice', 'amp', 'for', 'late', 'nights']","['great', 'littl', 'practic', 'amp', 'for', 'late', 'night']","['great', 'little', 'practice', 'amp', 'for', 'late', 'night']"
3440,do not use any battery...if possible,"['do', 'not', 'use', 'any', 'battery', '...', 'if', 'possible']","['do', 'not', 'use', 'ani', 'batteri', '...', 'if', 'possibl']","['do', 'not', 'use', 'any', 'battery', '...', 'if', 'possible']"
3441,Handy little Box to have...,"['Handy', 'little', 'Box', 'to', 'have', '...']","['handi', 'littl', 'box', 'to', 'have', '...']","['Handy', 'little', 'Box', 'to', 'have', '...']"
3442,Neato ! Love this mini giant of a speaker,"['Neato', '!', 'Love', 'this', 'mini', 'giant', 'of', 'a', 'speaker']","['neato', '!', 'love', 'thi', 'mini', 'giant', 'of', 'a', 'speaker']","['Neato', '!', 'Love', 'this', 'mini', 'giant', 'of', 'a', 'speaker']"
3443,great bass tones!,"['great', 'bass', 'tones', '!']","['great', 'bass', 'tone', '!']","['great', 'bass', 'tone', '!']"
3444,Must have for working bassists,"['Must', 'have', 'for', 'working', 'bassists']","['must', 'have', 'for', 'work', 'bassist']","['Must', 'have', 'for', 'working', 'bassist']"
3445,Meet my new bass amp.,"['Meet', 'my', 'new', 'bass', 'amp', '.']","['meet', 'my', 'new', 'bass', 'amp', '.']","['Meet', 'my', 'new', 'bass', 'amp', '.']"
3446,Hartke VXL Bass Attack,"['Hartke', 'VXL', 'Bass', 'Attack']","['hartk', 'vxl', 'bass', 'attack']","['Hartke', 'VXL', 'Bass', 'Attack']"
3447,"Great tone, dedicated DI is a huge bonus","['Great', 'tone', ',', 'dedicated', 'DI', 'is', 'a', 'huge', 'bonus']","['great', 'tone', ',', 'dedic', 'di', 'is', 'a', 'huge', 'bonu']","['Great', 'tone', ',', 'dedicated', 'DI', 'is', 'a', 'huge', 'bonus']"
3448,Awesome,['Awesome'],['awesom'],['Awesome']
3449,Good Quality Strings,"['Good', 'Quality', 'Strings']","['good', 'qualiti', 'string']","['Good', 'Quality', 'Strings']"
3450,cheaper than the store,"['cheaper', 'than', 'the', 'store']","['cheaper', 'than', 'the', 'store']","['cheaper', 'than', 'the', 'store']"
3451,Great strings,"['Great', 'strings']","['great', 'string']","['Great', 'string']"
3452,Great strings for practice or begginers,"['Great', 'strings', 'for', 'practice', 'or', 'begginers']","['great', 'string', 'for', 'practic', 'or', 'beggin']","['Great', 'string', 'for', 'practice', 'or', 'begginers']"
3453,They are good strings,"['They', 'are', 'good', 'strings']","['they', 'are', 'good', 'string']","['They', 'are', 'good', 'string']"
3454,Nice Tone,"['Nice', 'Tone']","['nice', 'tone']","['Nice', 'Tone']"
3455,Ernie Ball 2215 Skinny Top/Heavy Bottom Slinky,"['Ernie', 'Ball', '2215', 'Skinny', 'Top/Heavy', 'Bottom', 'Slinky']","['erni', 'ball', '2215', 'skinni', 'top/heavi', 'bottom', 'slinki']","['Ernie', 'Ball', '2215', 'Skinny', 'Top/Heavy', 'Bottom', 'Slinky']"
3456,Good strings,"['Good', 'strings']","['good', 'string']","['Good', 'string']"
3457,ernie ball always wins!,"['ernie', 'ball', 'always', 'wins', '!']","['erni', 'ball', 'alway', 'win', '!']","['ernie', 'ball', 'always', 'win', '!']"
3458,cant complain,"['cant', 'complain']","['cant', 'complain']","['cant', 'complain']"
3459,Sweet!,"['Sweet', '!']","['sweet', '!']","['Sweet', '!']"
3460,Good for bands where you don't have a rhythm guitarist.,"['Good', 'for', 'bands', 'where', 'you', 'do', ""n't"", 'have', 'a', 'rhythm', 'guitarist', '.']","['good', 'for', 'band', 'where', 'you', 'do', ""n't"", 'have', 'a', 'rhythm', 'guitarist', '.']","['Good', 'for', 'band', 'where', 'you', 'do', ""n't"", 'have', 'a', 'rhythm', 'guitarist', '.']"
3461,On Fender Squire,"['On', 'Fender', 'Squire']","['on', 'fender', 'squir']","['On', 'Fender', 'Squire']"
3462,A good all-around set,"['A', 'good', 'all-around', 'set']","['a', 'good', 'all-around', 'set']","['A', 'good', 'all-around', 'set']"
3463,Power Slinky gives power sound,"['Power', 'Slinky', 'gives', 'power', 'sound']","['power', 'slinki', 'give', 'power', 'sound']","['Power', 'Slinky', 'give', 'power', 'sound']"
3464,first time using these strings. . . surpassed my expectations,"['first', 'time', 'using', 'these', 'strings', '.', '.', '.', 'surpassed', 'my', 'expectations']","['first', 'time', 'use', 'these', 'string', '.', '.', '.', 'surpass', 'my', 'expect']","['first', 'time', 'using', 'these', 'string', '.', '.', '.', 'surpassed', 'my', 'expectation']"
3465,Excellent Ernie Ball Guitar Strings,"['Excellent', 'Ernie', 'Ball', 'Guitar', 'Strings']","['excel', 'erni', 'ball', 'guitar', 'string']","['Excellent', 'Ernie', 'Ball', 'Guitar', 'Strings']"
3466,Proven strings,"['Proven', 'strings']","['proven', 'string']","['Proven', 'string']"
3467,"great strings, great price","['great', 'strings', ',', 'great', 'price']","['great', 'string', ',', 'great', 'price']","['great', 'string', ',', 'great', 'price']"
3468,Great Strings!,"['Great', 'Strings', '!']","['great', 'string', '!']","['Great', 'Strings', '!']"
3469,I can really string along with these,"['I', 'can', 'really', 'string', 'along', 'with', 'these']","['i', 'can', 'realli', 'string', 'along', 'with', 'these']","['I', 'can', 'really', 'string', 'along', 'with', 'these']"
3470,Thick and chunky just like I like my chili,"['Thick', 'and', 'chunky', 'just', 'like', 'I', 'like', 'my', 'chili']","['thick', 'and', 'chunki', 'just', 'like', 'i', 'like', 'my', 'chili']","['Thick', 'and', 'chunky', 'just', 'like', 'I', 'like', 'my', 'chili']"
3471,Best Sound From my p90 Les Paul,"['Best', 'Sound', 'From', 'my', 'p90', 'Les', 'Paul']","['best', 'sound', 'from', 'my', 'p90', 'le', 'paul']","['Best', 'Sound', 'From', 'my', 'p90', 'Les', 'Paul']"
3472,Most versatile strings that I've had on my guitar.,"['Most', 'versatile', 'strings', 'that', 'I', ""'ve"", 'had', 'on', 'my', 'guitar', '.']","['most', 'versatil', 'string', 'that', 'i', ""'ve"", 'had', 'on', 'my', 'guitar', '.']","['Most', 'versatile', 'string', 'that', 'I', ""'ve"", 'had', 'on', 'my', 'guitar', '.']"
3473,cool,['cool'],['cool'],['cool']
3474,Sound good.,"['Sound', 'good', '.']","['sound', 'good', '.']","['Sound', 'good', '.']"
3475,Light and very triply sound,"['Light', 'and', 'very', 'triply', 'sound']","['light', 'and', 'veri', 'tripli', 'sound']","['Light', 'and', 'very', 'triply', 'sound']"
3476,Good Mix,"['Good', 'Mix']","['good', 'mix']","['Good', 'Mix']"
3477,The best strings,"['The', 'best', 'strings']","['the', 'best', 'string']","['The', 'best', 'string']"
3478,nice alternative string;  very easy to play,"['nice', 'alternative', 'string', ';', 'very', 'easy', 'to', 'play']","['nice', 'altern', 'string', ';', 'veri', 'easi', 'to', 'play']","['nice', 'alternative', 'string', ';', 'very', 'easy', 'to', 'play']"
3479,Two Reviews In One,"['Two', 'Reviews', 'In', 'One']","['two', 'review', 'in', 'one']","['Two', 'Reviews', 'In', 'One']"
3480,Good strings,"['Good', 'strings']","['good', 'string']","['Good', 'string']"
3481,Meh...,"['Meh', '...']","['meh', '...']","['Meh', '...']"
3482,Great mix to add bass to your sound,"['Great', 'mix', 'to', 'add', 'bass', 'to', 'your', 'sound']","['great', 'mix', 'to', 'add', 'bass', 'to', 'your', 'sound']","['Great', 'mix', 'to', 'add', 'bass', 'to', 'your', 'sound']"
3483,Great strings,"['Great', 'strings']","['great', 'string']","['Great', 'string']"
3484,strings,['strings'],['string'],['string']
3485,Spare cable,"['Spare', 'cable']","['spare', 'cabl']","['Spare', 'cable']"
3486,Great cord but over-priced,"['Great', 'cord', 'but', 'over-priced']","['great', 'cord', 'but', 'over-pr']","['Great', 'cord', 'but', 'over-priced']"
3487,Very good cable,"['Very', 'good', 'cable']","['veri', 'good', 'cabl']","['Very', 'good', 'cable']"
3488,It's a Monster,"['It', ""'s"", 'a', 'Monster']","['it', ""'s"", 'a', 'monster']","['It', ""'s"", 'a', 'Monster']"
3489,a great little cord,"['a', 'great', 'little', 'cord']","['a', 'great', 'littl', 'cord']","['a', 'great', 'little', 'cord']"
3490,Inexpensive and excellent,"['Inexpensive', 'and', 'excellent']","['inexpens', 'and', 'excel']","['Inexpensive', 'and', 'excellent']"
3491,great,['great'],['great'],['great']
3492,Monster of a Deal,"['Monster', 'of', 'a', 'Deal']","['monster', 'of', 'a', 'deal']","['Monster', 'of', 'a', 'Deal']"
3493,Buy it!,"['Buy', 'it', '!']","['buy', 'it', '!']","['Buy', 'it', '!']"
3494,Monster Cable Standard,"['Monster', 'Cable', 'Standard']","['monster', 'cabl', 'standard']","['Monster', 'Cable', 'Standard']"
3495,Great cable as always from Monster!!,"['Great', 'cable', 'as', 'always', 'from', 'Monster', '!', '!']","['great', 'cabl', 'as', 'alway', 'from', 'monster', '!', '!']","['Great', 'cable', 'a', 'always', 'from', 'Monster', '!', '!']"
3496,Great strings,"['Great', 'strings']","['great', 'string']","['Great', 'string']"
3497,Great Idea,"['Great', 'Idea']","['great', 'idea']","['Great', 'Idea']"
3498,Good beginner set,"['Good', 'beginner', 'set']","['good', 'beginn', 'set']","['Good', 'beginner', 'set']"
3499,Acceptable,['Acceptable'],['accept'],['Acceptable']
3500,"D'Addario Prelude Violin String Set, 4/4 Scale, Medium Tension","[""D'Addario"", 'Prelude', 'Violin', 'String', 'Set', ',', '4/4', 'Scale', ',', 'Medium', 'Tension']","[""d'addario"", 'prelud', 'violin', 'string', 'set', ',', '4/4', 'scale', ',', 'medium', 'tension']","[""D'Addario"", 'Prelude', 'Violin', 'String', 'Set', ',', '4/4', 'Scale', ',', 'Medium', 'Tension']"
